Godfryd;Godfrydzie;M
Godzimierz;Godzimierzu;M
Godzimir;Godzimirze;M
Godzisław;Godzisławie;M
Godzisława;Godzisławo;K
Godzisz;Godziszu;M
Gorgoncjusz;Gorgoncjuszu;M
Gorzysław;Gorzysławie;M
Gosław;Gosławie;M
Gościmił;Gościmile;M
Gościmir;Gościmierze;M
Gościrad;Gościradzie;M
Gościsław;Gościsławie;M
Gościsława;Gościsławo;K
Gościwit;Gościwicie;M
Gotard;Gotardzie;M
Gotfryd;Gotfrydzie;M
Gracja;Gracjo;K
Gracjan;Gracjanie;M
Gracjana;Gracjanno;K
Grażyna;Grażyno;K
Greta;Greto;K
Grodzisław;Grodzisławie;M
Gryzelda;Gryzeldo;K
Grzegorz;Grzegorzu;M
Grzymisław;Grzymisławie;M
Grzymisława;Grzymisławo;K
Gustaw;Gustawie;M
Gustawa;Gustawo;K
Gwidon;Gwidonie;M
Ida;Ido;K
Idalia;Idalio;K
Idzi;Idzi;M
Ifigenia;Ifigenio;K
Iga;Igo;K
Ignacja;Ignacjo;K
Ignacy;Ignacy;M
Igor;Igorze;M
Ildefons;Ildefoncsie;M
Ilia;Ilio;K
Ilona;Ilono;K
Ilza;Ilzo;K
Imisław;Imisławie;M
Imisława;Imisławo;K
Inez;Iznez;K
Inga;Ingo;K
Ingeborga;Ingeborgo;K
Ingrida;Ingrido;K
Innocenta;Innocento;K
Innocenty;Innocenty;M
Irena;Ireno;K
Ireneusz;Ireneuszu;M
Irina;Irino;K
Irma;Irmo;K
Irmina;Irmino;K
Irwin;Irwinie;M
Iryda;Irydo;K
Irydion;Irydionie;M
Isaura;Isauro;K
Ismena;Ismeno;K
Ita;Ito;K
Iwa;Iwo;K
Iwan;Iwania;M
Iwetta;Iwetto;K
Iwo;Iwo;M
Iwon;Iwono;M
Iwona;Iwono;K
Izaak;Izaaku;M
Izabela;Izabelo;K
Izolda;Izoldo;K
Izyda;Izydo;K
Izydor;Izydore;M
Jacek;Jacku;M
Jacenty;Jacenty;M
Jacław;Jacławie;M
Jaczewoj;Jaczewoju;M
Jadwiga;Jadwigo;K
Jagoda;Jagodo;K
Jakobina;Jakobino;K
Jakub;Jakubie;M
Jan Chryzostom;Janie Chryzostomie;M
Jan Gwalbert;Janie Gwalbercie;M
Jan Kanty;Janie Kanty;M
Jan Nepomucen;Janie Niepomucenie;M
Jan;Janie;M
Janina;Janino;K
Janisław;Janisławie;M
Januaria;Januario;K
January;January;M
Janusz;Januszu;M
Jarema;Jaremo;K
Jarmiła;Jarmiło;K
Jarogniew;Jarogniewie;M
Jaromir;Jaromirze;M
Jaropełk;Jaropełku;M
Jarosław;Jarosławie;M
Jarosława;Jarosławo;K
Jaśmina;Jaśmino;K
Jazon;Jazonie;M
Jeremi;Jeremi;M
Jeremiasz;Jeremiaszu;M
Jeron;Jeronie;M
Jerosława;Jerosławo;K
Jerzy;Jerzy;M
Jewdocha;Jewdocho;K
Jędrzej;Jędrzeju;M
Joachim;Joachimie;M
Joachima;Joachimo;K
Joanna;Joanno;K
Job;Jabie;M
Jolanta;Jolanto;K
Jonasz;Jonaszu;M
Jonatan;Jonatanie;M
Jordan;Jordanie;M
Jowita;Jowito;K
Jozafat;Jozafacie;M
JÃ³zef;JÃ³zefie;M
JÃ³zefa;JÃ³zefo;K
JÃ³zefat;JÃ³zefacie;M
JÃ³zefina;JÃ³zefino;K
Juda;Judo;K
Judyta;Judyto;K
Julia;Julio;K
Julian;Julianie;M
Julianna;Julianno;K
Julietta;Julietto;K
Julita;Julito;K
Juliusz;Juliuszu;M
Jurand;Jurandzie;M
Jurata;Jurato;K
Justyn;Justynie;M
Justyna;Justyno;K
Justynian;Justynianie;M
Kacper;Kacprze;M
Kaja;Kajo;K
Kajetan;Kajetanie;M
Kajus;Kajusie;M
Kalasanty;Kalasanty;M
Kalikst;Kaliksty;M
Kaliksta;Kaliksto;K
Kalina;Kalino;K
Kalistrat;Kalistarcie;M
Kallina;Kallino;K
Kamelia;Kamelio;K
Kamil;Kamilu;M
Kamila;Kamilo;K
Kandyd;Kandydzie;M
Kanizjusz;Kanizjuszu;M
Kanut;Kanucie;M
Karena;Kareno;K
Karina;Karino;K
Karol Boromeusz;Karolu Boromeuszu;M
Karol;Karolu;M
Karolin;Karolinie;M
Karolina;Karolino;K
Karp;Kaprie;M
Kasjan;Kasjanie;M
Kasjana;Kasjanno;K
Kasper;Kasprze;M
Kastor;Kastorze;M
Katarzyna;Katarzyno;K
Kazimiera;Kazimiero;K
Kazimierz;Kazimierzu;M
Kiejstut;Kiejstucie;M
Kilian;Kilianie;M
Kinga;Kingo;K
Kir;Kirze;M
Kira;Kiro;K
Kirył;Kirylu;M
Klara;Klaro;K
Klarysa;Klaryso;K
Klaudia;Klaudio;K
Klaudian;Klaudianie;M
Klaudiusz;Klaudiuszu;M
Klaudyna;Klaudyno;K
Klemencja;Klemencjo;K
Klemens;Klemensie;M
Klement;Klementynie;M
Klementyn;Klementynie;M
Klementyna;Klementyno;K
Kleofas;Kleofasie;M
Kleopatra;Kleopatro;K
Klet;Klecie;M
Klotylda;Klotyldo;K
Koleta;Koleto;K
Kolombina;Kolombio;K
Kondrat;Kondracie;M
Konrad;Konradzie;M
Konrada;Konrado;K
Konradyn;Konradynie;M
Konradyna;Konradyno;K
Konstancja;Konstancjo;K
Konstancjusz;Konstancjuszu;M
Konstans;Konstansie;M
Konstanty;Konstanty;M
Konstantyn;Konstantynie;M
Kordelia;Kordelio;K
Kordian;Kordianie;M
Kordula;Korulo;K
Kornel;Kornelu;M
Korneli;Korneli;M
Kornelia;Kornelio;K
Korneliusz;Korneliuszu;M
Kosma;Kosmo;M
Kryspin;Kryspinie;M
Kryspina;Kryspiono;K
Krystian;Krystianie;M
Krystiana;Krystianno;K
Krystyn;Krystynie;M
Krystyna;Krystyno;K
Krzesimir;Krzesimirze;M
Krzesisław;Krzesisławie;M
Krzesisława;Krzesisławo;K
Krzysztof;Krzysztofie;M
Krzywosąd;Krzywosądzie;M
Ksawera;Ksawero;K
Ksawery;Ksawery;M
Ksaweryna;Ksaweryno;K
Ksenia;Kseniu;K
Ksenofont;Ksenofoncie;M
Kunegunda;Kunegundo;K
Kwiatosława;Kwiatosławo;K
Kwiryn;Kwirynie;M
Kwiryna;Kwiryno;K
Lambert;Lambercie;M
Lamberta;Lamberto;K
Larysa;Laryso;K
Laura;Lauro;K
Laurencja;Laurencjo;K
Laurencjusz;Laurencjuszu;M
Laurenty;Lautenty;M
Laurentyn;Laurentynie;M
Laurentyna;Laurentyno;K
Laza;Lazo;K
Lea;Leo;K
Leander;Leandrze;M
Lech;Lechu;M
Lechosław;Lechosławie;M
Lechosława;Lechosławo;K
Lena;Leno;K
Lenart;Lenardzie;M
Leodegar;Leodegardzie;M
Leokadia;Leokadio;K
Leon;Leonie;M
Leona;Loeono;K
Leonard;Leonardzie;M
Leonarda;Leonardo;K
Leoncjusz;Leoncjuszu;M
Leonia;Loenio;K
Leonid;Leonidzie;M
Leonida;Leonido;K
Leonidas;Leonidasie;M
Leontyna;Leontyno;K
Leopard;Leopardzie;M
Leopold;Leopoldzie;M
Leopoldyna;Leopoldyno;K
Lesław;Lesławie;M
Lesława;Lesławo;K
Leszek;Leszku;M
Lew;Lwie;M
Lewin;Lewinie;M
Liberat;Liberacie;M
Liberata;Liberato;K
Libert;Libercie;M
Liboriusz;Liboriuszu;M
Lidia;Lidio;K
Ligia;Ligio;K
Lilian;Lilianie;M
Liliana;Liliano;K
Lilianna;Lilianno;K
Lilla;Lillo;K
Linda;Lindo;K
Liwia;Liwio;K
Liwiusz;Liwiuszu;M
Liza;Lizo;K
Loda;Lodo;K
Lolita;Lilito;K
Longin;Longinie;M
Longina;Longino;K
Longinus;Longinusie;M
Loretta;Loretto;K
Luba;Lubo;K
Lubogost;Lubogoście;M
Lubomierz;Lubomierzu;M
Lubomir;Lubomirze;M
Lubomira;Lubomiro;K
Lubomysł;Lubomyślu;M
Lubor;Luborze;M
Lubosław;Lubosławie;M
Lubosza;Luboszu;K
Lucja;Lucjo;K
Lucjan;Lucjanie;M
Lucjol;Lucjolu;M
Lucjola;Lucjolu;K
Lucjusz;Lucjuszu;M
Lucylla;Lucyllo;K
Lucyna;Lucyno;K
Ludgarda;Ludgardo;K
Ludmiła;Ludmiło;K
Ludomił;Ludomirze;M
Ludomiła;Ludomiło;K
Ludomir;Ludomirze;M
Ludomira;Ludomiro;K
Ludosław;Ludosławie;M
Ludwik;Ludwiku;M
Ludwika;Ludwiko;K
Ludwina;Ludwino;K
Luiza;Luizo;K
Lukrecja;Lukrecjo;K
Lutobor;Lutoborze;M
Lutogniew;Lutogniewie;M
Lutomir;Lutomirze;M
Lutomysł;Lutomyśle;M
Lutosław;Lutosławie;M
Ładysław;Ładysławie;M
Łazarz;Łazarzu;M
Łękomir;Łękomirze;M
Łucja;Łucjo;K
Łucjan;Łucjanie;M
Łucjusz;Łucjuszu;M
Łukasz;Łukaszu;M
Machabeusz;Machabeuszu;M
Maciej;Macieju;M
Madlena;Madleno;K
Magda;Magdo;K
Magdalena;Magdaleno;K
Magnus;Magnusie;M
Maja;Majo;K
Makary;Makary;M
Maksym;Maksymie;M
Maksymilian;Maksymilianie;M
Maksymin;Maksymie;M
Malina;Malino;K
Malkolm;Malkolmie;M
Malwin;Malwinie;M
Malwina;Malwino;K
Małgorzata;Małgorzato;K
Mamert;Mamercie;M
Manfred;Manfredzie;M
Manfreda;Manfredo;K
Manswet;Manswecie;M
Manuela;Manuelo;K
Marcel;Marceli;M
Marcela;Marcelo;K
Marceli;Marceli;M
Marcelin;Marcelinie;M
Marcelina;Marcelino;K
Marcin;Marcinie;M
Marcjal;Marcjalnie;M
Marcjan;Marcjanie;M
Marcjanna;Marcjanno;K
Marek;Marku;M
Margareta;Margareto;K
Maria Magdalena;Mario Magdaleno;K
Maria;Mario;K
Marian;Marianie;M
Marianna;Marianno;K
Marietta;Marietto;K
Marika;Mariko;K
Marina;Marino;K
Mariola;Mariolo;K
Marita;Marito;K
Mariusz;Mariuszu;M
Marlena;Marleno;K
Marta;Marto;K
Martyn;Martynie;M
Martyna;Martyno;K
Martynian;Martynianie;M
Maryla;Marylo;K
Maryna;Maryno;K
Marzanna;Marzanno;K
Marzena;Marzeno;K
Masław;Masławie;M
Materna;Materno;K
Mateusz;Mateuszu;M
Matron;Matronie;M
Matylda;Matyldo;K
Maur;Maurze;M
Maura;Mauro;K
Maurycy;Maurycy;M
Mauryn;Maurynie;M
Mechtylda;Machtyldo;K
Medard;Medardzie;M
Melania;Melanio;K
Melchior;Melchiorze;M
Metoda;Metodo;K
Metody;Metody;M
Męcimir;Męcimirze;M
Michalina;Michalino;K
Michał;Michale;M
Mieczysław;Mieczysławie;M
Mieczysława;Mieczysławo;K
Mieszko;Mieszko;M
Mikołaj;Mikołaju;M
Milena;Mileno;K
Milenia;Milenio;K
Miligost;Miligoscie;M
Miła;Miło;K
Miłogost;Miłogoście;M
Miłorad;Miłoradzie;M
Mirosław;Mirosławie;M
Mirosława;Mirosławo;K
Miłosz;Miłoszu;M
Miłowan;Miłowanie;M
Miłowit;Miłowicie;M
Mina;Mino;K
Mindora;Mindoro;K
Minodora;Minodoro;K
Mira;Miro;K
Mirabella;Mirabello;K
Miranda;Mirando;K
Mirella;Mirello;K
Mirogniew;Mirogniewie;M
Miromir;Miromirze;M
Miron;Mironie;M
Mironieg;Mironiegu;M
Mironiega;Mironiego;K
Miłosław;Miłosławie;M
Miłosława;Miłosławo;K
Modest;Modeście;M
Modesta;Modesto;K
Mojmir;Mojmirze;M
Mokij;Mokiju;M
Monika;Moniko;K
Morzysław;Morzysławie;M
Mścibor;Mściborze;M
Mścigniew;Mścigniewie;M
Mścisław;Mścisławie;M
